1610,5
1592,9
1575,9
1559,8
1543,3
1527,0
1510,3
1493,4
1476,7
1460,3
1443,2
1426,5
1410,2
1393,6
1376,7
1359,4
1342,6
1326,4
1309,4
1292,6
1275,7
1259,1
1242,8
1226,7
1209,8
1193,1
1176,4
1159,7
1143,2
1126,3
1109,6
1093,1
1076,7
1060,2
1043,8
1026,9
1010,1
993,6
976,7
959,3
942,6
925,8
909,2
892,4
875,6
859,2
842,5
825,7
809,2
792,5
776,2
759,8
743,3
726,8
710,2
693,7
677,3
660,7
644,3
628,0
611,8
595,8
579,2
562,6
546,0
529,1
512,4
495,6
479,0
462,3
445,7
429,6
413,2
396,7
380,5
363,5
347,1
330,9
314,6
298,5
281,9
265,2
248,3
231,8
215,4
198,7
181,5
165,4
148,4
132,0
115,6
99,3
82,6
65,9
74,2
70,1
72,9
68,3
72,7
73,1
72,7
72,1
72,7
76,9
81,2
63,7
74,0
74,1
72,3
72,8
70,7
74,1
71,0
76,5
80,2
74,2
84,8
67,2
73,6
77,1
